time,litterCount,tPlusProcessing
0,0.0,0.0
1,0.0,1.0
2,0.0,2.0
3,0.0,3.0
4,0.0,4.0
5,0.0,5.0
6,0.0,6.0
7,0.0,7.0
8,0.0,8.0
9,0.0,9.0
10,0.0,10.0
11,0.0,11.0
12,0.0,12.0
13,0.0,13.0
14,0.0,14.0
15,0.0,15.0
16,0.0,16.0
17,0.0,17.0
18,0.0,18.0
19,0.0,19.0
20,0.0,20.0
21,0.0,21.0
22,0.0,22.0
23,0.0,23.0
24,0.0,24.0
25,0.0,25.0
26,0.0,26.0
27,0.0,27.0
28,0.0,28.0
29,0.0,29.0
30,0.0,30.0
31,0.0,31.0
32,0.0,32.0
33,0.0,33.0
34,0.0,34.0
35,0.0,35.0
36,0.0,36.0
37,0.0,37.0
38,0.0,38.0
39,0.0,39.0
40,0.0,40.0
41,0.0,41.0
42,0.0,42.0
43,0.0,43.0
44,0.0,44.0
45,0.0,45.0
46,0.0,46.0
47,0.0,47.0
48,0.0,48.0
49,0.0,49.0
50,0.0,50.0
51,0.0,51.0
52,0.0,52.0
53,0.0,53.0
54,0.0,54.0
55,0.0,55.0
56,0.0,56.0
57,5.0,57.0
58,5.0,58.0
59,5.0,59.0
60,5.0,60.0
61,5.0,61.0
62,5.0,62.0
63,5.0,63.0
64,5.0,64.0
65,10.0,65.0
66,10.0,66.0
67,15.0,67.0
68,15.0,68.0
69,15.0,69.0
70,20.0,70.0
71,25.0,71.0
72,25.0,72.0
73,25.0,73.0
74,30.0,74.0
75,35.0,75.0
76,35.0,76.0
77,35.0,77.0
78,35.0,78.0
79,40.0,79.0
80,40.0,80.0
81,50.0,81.0
82,50.0,82.0
83,55.0,83.0
84,75.0,84.0
85,80.0,85.0
86,80.0,86.0
87,85.0,87.0
88,95.0,88.0
89,95.0,89.0
90,100.0,90.0
91,105.0,91.0
92,110.0,92.0
93,115.0,93.0
94,120.0,94.0
95,125.0,95.0
96,130.0,96.0
97,135.0,97.0
98,135.0,98.0
99,145.0,99.0
100,145.0,100.0
101,150.0,101.0
102,150.0,102.0
103,160.0,103.0
104,160.0,104.0
105,160.0,105.0
106,160.0,106.0
107,165.0,107.0
108,170.0,108.0
109,175.0,109.0
110,175.0,110.0
111,180.0,111.0
112,180.0,112.0
113,180.0,113.0
114,180.0,114.0
115,180.0,115.0
116,180.0,116.0
117,180.0,117.0
118,180.0,118.0
119,180.0,119.0
120,180.0,120.0
121,180.0,121.0
122,180.0,122.0
123,180.0,123.0
124,180.0,124.0
125,180.0,125.0
126,180.0,126.0
127,180.0,127.0
128,180.0,128.0
129,180.0,129.0
130,180.0,130.0
131,180.0,131.0
132,180.0,132.0
133,180.0,133.0
134,180.0,134.0
135,180.0,135.0
136,180.0,136.0
137,180.0,137.0
138,180.0,138.0
139,180.0,139.0
140,180.0,140.0
141,180.0,141.0
142,180.0,142.0
143,180.0,143.0
144,180.0,144.0
145,180.0,145.0
146,180.0,146.0
147,180.0,147.0
148,180.0,148.0
149,180.0,149.0
150,185.0,150.0
151,185.0,151.0
152,185.0,152.0
153,185.0,153.0
154,185.0,154.0
155,185.0,155.0
156,185.0,156.0
157,185.0,157.0
158,185.0,158.0
159,185.0,159.0
160,185.0,160.0
161,185.0,161.0
162,185.0,162.0
163,185.0,163.0
164,185.0,164.0
165,185.0,165.0
166,185.0,166.0
167,185.0,167.0
168,185.0,168.0
169,185.0,169.0
170,190.0,170.0
171,190.0,171.0
172,190.0,172.0
173,190.0,173.0
174,190.0,174.0
175,190.0,175.0
176,190.0,176.0
177,190.0,177.0
178,190.0,178.0
179,190.0,179.0
180,190.0,180.0
181,190.0,181.0
182,190.0,182.0
183,190.0,183.0
184,190.0,184.0
185,190.0,185.0
186,190.0,186.0
187,190.0,187.0
188,190.0,188.0
189,190.0,189.0
190,190.0,190.0
191,190.0,191.0
192,190.0,192.0
193,190.0,193.0
194,190.0,194.0
195,190.0,195.0
196,190.0,196.0
197,190.0,197.0
198,190.0,198.0
199,190.0,199.0
200,195.0,200.0
201,195.0,201.0
202,200.0,202.0
