time,litterCount,tPlusProcessing
0,0.0,0.0
1,0.0,1.0
2,0.0,2.0
3,0.0,3.0
4,0.0,4.0
5,0.0,5.0
6,0.0,6.0
7,0.0,7.0
8,0.0,8.0
9,0.0,9.0
10,0.0,10.0
11,0.0,11.0
12,0.0,12.0
13,0.0,13.0
14,0.0,14.0
15,0.0,15.0
16,0.0,16.0
17,0.0,17.0
18,0.0,18.0
19,0.0,19.0
20,0.0,20.0
21,0.0,21.0
22,0.0,22.0
23,0.0,23.0
24,0.0,24.0
25,0.0,25.0
26,0.0,26.0
27,0.0,27.0
28,0.0,28.0
29,0.0,29.0
30,0.0,30.0
31,0.0,31.0
32,0.0,32.0
33,0.0,33.0
34,0.0,34.0
35,0.0,35.0
36,0.0,36.0
37,0.0,37.0
38,0.0,38.0
39,0.0,39.0
40,0.0,40.0
41,0.0,41.0
42,0.0,42.0
43,5.0,43.0
44,5.0,44.0
45,5.0,45.0
46,5.0,46.0
47,5.0,47.0
48,5.0,48.0
49,5.0,49.0
50,5.0,50.0
51,5.0,51.0
52,5.0,52.0
53,5.0,53.0
54,5.0,54.0
55,5.0,55.0
56,5.0,56.0
57,10.0,57.0
58,10.0,58.0
59,10.0,59.0
60,10.0,60.0
61,15.0,61.0
62,15.0,62.0
63,25.0,63.0
64,25.0,64.0
65,25.0,65.0
66,25.0,66.0
67,25.0,67.0
68,25.0,68.0
69,25.0,69.0
70,30.0,70.0
71,30.0,71.0
72,40.0,72.0
73,45.0,73.0
74,50.0,74.0
75,50.0,75.0
76,50.0,76.0
77,55.0,77.0
78,55.0,78.0
79,55.0,79.0
80,60.0,80.0
81,70.0,81.0
82,70.0,82.0
83,70.0,83.0
84,75.0,84.0
85,75.0,85.0
86,80.0,86.0
87,80.0,87.0
88,90.0,88.0
89,100.0,89.0
90,105.0,90.0
91,110.0,91.0
92,110.0,92.0
93,115.0,93.0
94,120.0,94.0
95,125.0,95.0
96,125.0,96.0
97,130.0,97.0
98,135.0,98.0
99,135.0,99.0
100,135.0,100.0
101,135.0,101.0
102,140.0,102.0
103,145.0,103.0
104,150.0,104.0
105,150.0,105.0
106,150.0,106.0
107,150.0,107.0
108,155.0,108.0
109,155.0,109.0
110,160.0,110.0
111,160.0,111.0
112,160.0,112.0
113,170.0,113.0
114,170.0,114.0
115,170.0,115.0
116,180.0,116.0
117,180.0,117.0
118,180.0,118.0
119,180.0,119.0
120,180.0,120.0
121,180.0,121.0
122,180.0,122.0
123,180.0,123.0
124,180.0,124.0
125,180.0,125.0
126,180.0,126.0
127,180.0,127.0
128,180.0,128.0
129,180.0,129.0
130,180.0,130.0
131,180.0,131.0
132,180.0,132.0
133,185.0,133.0
134,185.0,134.0
135,185.0,135.0
136,185.0,136.0
137,185.0,137.0
138,185.0,138.0
139,185.0,139.0
140,185.0,140.0
141,185.0,141.0
142,185.0,142.0
143,185.0,143.0
144,185.0,144.0
145,185.0,145.0
146,185.0,146.0
147,185.0,147.0
148,185.0,148.0
149,185.0,149.0
150,185.0,150.0
151,185.0,151.0
152,185.0,152.0
153,185.0,153.0
154,185.0,154.0
155,185.0,155.0
156,185.0,156.0
157,185.0,157.0
158,185.0,158.0
159,185.0,159.0
160,185.0,160.0
161,185.0,161.0
162,185.0,162.0
163,185.0,163.0
164,185.0,164.0
165,185.0,165.0
166,185.0,166.0
167,185.0,167.0
168,185.0,168.0
169,185.0,169.0
170,185.0,170.0
171,185.0,171.0
172,185.0,172.0
173,185.0,173.0
174,185.0,174.0
175,195.0,175.0
176,195.0,176.0
177,195.0,177.0
178,195.0,178.0
179,195.0,179.0
180,195.0,180.0
181,195.0,181.0
182,195.0,182.0
183,195.0,183.0
184,195.0,184.0
185,200.0,185.0
