time,litterCount,tPlusProcessing
0,0.0,0.0
1,0.0,1.0
2,0.0,2.0
3,0.0,3.0
4,0.0,4.0
5,0.0,5.0
6,0.0,6.0
7,0.0,7.0
8,0.0,8.0
9,0.0,9.0
10,0.0,10.0
11,0.0,11.0
12,0.0,12.0
13,0.0,13.0
14,0.0,14.0
15,0.0,15.0
16,0.0,16.0
17,0.0,17.0
18,0.0,18.0
19,0.0,19.0
20,0.0,20.0
21,0.0,21.0
22,0.0,22.0
23,0.0,23.0
24,0.0,24.0
25,0.0,25.0
26,0.0,26.0
27,0.0,27.0
28,0.0,28.0
29,0.0,29.0
30,0.0,30.0
31,0.0,31.0
32,0.0,32.0
33,0.0,33.0
34,0.0,34.0
35,0.0,35.0
36,0.0,36.0
37,0.0,37.0
38,0.0,38.0
39,0.0,39.0
40,0.0,40.0
41,0.0,41.0
42,0.0,42.0
43,0.0,43.0
44,0.0,44.0
45,0.0,45.0
46,0.0,46.0
47,0.0,47.0
48,0.0,48.0
49,0.0,49.0
50,0.0,50.0
51,0.0,51.0
52,0.0,52.0
53,0.0,53.0
54,0.0,54.0
55,0.0,55.0
56,0.0,56.0
57,0.0,57.0
58,0.0,58.0
59,0.0,59.0
60,5.0,60.0
61,5.0,61.0
62,5.0,62.0
63,5.0,63.0
64,5.0,64.0
65,10.0,65.0
66,10.0,66.0
67,10.0,67.0
68,10.0,68.0
69,20.0,69.0
70,20.0,70.0
71,20.0,71.0
72,25.0,72.0
73,30.0,73.0
74,30.0,74.0
75,30.0,75.0
76,35.0,76.0
77,40.0,77.0
78,45.0,78.0
79,50.0,79.0
80,55.0,80.0
81,60.0,81.0
82,60.0,82.0
83,65.0,83.0
84,65.0,84.0
85,75.0,85.0
86,85.0,86.0
87,85.0,87.0
88,85.0,88.0
89,95.0,89.0
90,110.0,90.0
91,110.0,91.0
92,110.0,92.0
93,115.0,93.0
94,120.0,94.0
95,120.0,95.0
96,140.0,96.0
97,140.0,97.0
98,145.0,98.0
99,150.0,99.0
100,150.0,100.0
101,150.0,101.0
102,155.0,102.0
103,165.0,103.0
104,165.0,104.0
105,170.0,105.0
106,175.0,106.0
107,175.0,107.0
108,180.0,108.0
109,180.0,109.0
110,180.0,110.0
111,180.0,111.0
112,180.0,112.0
113,180.0,113.0
114,180.0,114.0
115,180.0,115.0
116,180.0,116.0
117,180.0,117.0
118,180.0,118.0
119,180.0,119.0
120,180.0,120.0
121,180.0,121.0
122,180.0,122.0
123,180.0,123.0
124,180.0,124.0
125,180.0,125.0
126,180.0,126.0
127,180.0,127.0
128,180.0,128.0
129,180.0,129.0
130,180.0,130.0
131,180.0,131.0
132,180.0,132.0
133,180.0,133.0
134,180.0,134.0
135,180.0,135.0
136,180.0,136.0
137,180.0,137.0
138,180.0,138.0
139,180.0,139.0
140,180.0,140.0
141,180.0,141.0
142,180.0,142.0
143,180.0,143.0
144,180.0,144.0
145,180.0,145.0
146,180.0,146.0
147,180.0,147.0
148,180.0,148.0
149,180.0,149.0
150,180.0,150.0
151,180.0,151.0
152,180.0,152.0
153,180.0,153.0
154,180.0,154.0
155,180.0,155.0
156,180.0,156.0
157,180.0,157.0
158,180.0,158.0
159,180.0,159.0
160,180.0,160.0
161,180.0,161.0
162,180.0,162.0
163,180.0,163.0
164,180.0,164.0
165,180.0,165.0
166,180.0,166.0
167,180.0,167.0
168,180.0,168.0
169,180.0,169.0
170,180.0,170.0
171,180.0,171.0
172,180.0,172.0
173,185.0,173.0
174,185.0,174.0
175,185.0,175.0
176,185.0,176.0
177,185.0,177.0
178,185.0,178.0
179,185.0,179.0
180,185.0,180.0
181,185.0,181.0
182,185.0,182.0
183,185.0,183.0
184,185.0,184.0
185,185.0,185.0
186,185.0,186.0
187,185.0,187.0
188,185.0,188.0
189,185.0,189.0
190,185.0,190.0
191,185.0,191.0
192,185.0,192.0
193,185.0,193.0
194,185.0,194.0
195,185.0,195.0
196,185.0,196.0
197,185.0,197.0
198,185.0,198.0
199,185.0,199.0
200,185.0,200.0
201,185.0,201.0
202,190.0,202.0
203,190.0,203.0
204,190.0,204.0
205,190.0,205.0
206,190.0,206.0
207,190.0,207.0
208,190.0,208.0
209,190.0,209.0
210,190.0,210.0
211,190.0,211.0
212,190.0,212.0
213,190.0,213.0
214,190.0,214.0
215,190.0,215.0
216,190.0,216.0
217,190.0,217.0
218,190.0,218.0
219,190.0,219.0
220,190.0,220.0
221,190.0,221.0
222,195.0,222.0
223,195.0,223.0
224,195.0,224.0
225,195.0,225.0
226,195.0,226.0
227,195.0,227.0
228,195.0,228.0
229,195.0,229.0
230,195.0,230.0
231,195.0,231.0
232,195.0,232.0
233,195.0,233.0
234,195.0,234.0
235,195.0,235.0
236,195.0,236.0
237,195.0,237.0
238,195.0,238.0
239,195.0,239.0
240,195.0,240.0
241,195.0,241.0
242,195.0,242.0
243,195.0,243.0
244,195.0,244.0
245,195.0,245.0
246,195.0,246.0
247,195.0,247.0
248,195.0,248.0
249,195.0,249.0
250,195.0,250.0
251,195.0,251.0
252,195.0,252.0
253,195.0,253.0
254,195.0,254.0
255,195.0,255.0
256,195.0,256.0
257,195.0,257.0
258,195.0,258.0
259,195.0,259.0
260,195.0,260.0
261,195.0,261.0
262,195.0,262.0
263,195.0,263.0
264,195.0,264.0
265,195.0,265.0
266,195.0,266.0
267,195.0,267.0
268,195.0,268.0
269,195.0,269.0
270,195.0,270.0
271,195.0,271.0
272,195.0,272.0
273,195.0,273.0
274,195.0,274.0
275,195.0,275.0
276,195.0,276.0
277,195.0,277.0
278,195.0,278.0
279,195.0,279.0
280,195.0,280.0
281,195.0,281.0
282,195.0,282.0
283,195.0,283.0
284,195.0,284.0
285,195.0,285.0
286,195.0,286.0
287,195.0,287.0
288,195.0,288.0
289,195.0,289.0
290,195.0,290.0
291,195.0,291.0
292,195.0,292.0
293,195.0,293.0
294,195.0,294.0
295,195.0,295.0
296,195.0,296.0
297,195.0,297.0
298,195.0,298.0
299,195.0,299.0
300,195.0,300.0
301,195.0,301.0
302,195.0,302.0
303,195.0,303.0
304,195.0,304.0
305,195.0,305.0
306,195.0,306.0
307,195.0,307.0
308,195.0,308.0
309,195.0,309.0
310,195.0,310.0
311,195.0,311.0
312,195.0,312.0
313,195.0,313.0
314,195.0,314.0
315,195.0,315.0
316,195.0,316.0
317,195.0,317.0
318,195.0,318.0
319,195.0,319.0
320,195.0,320.0
321,195.0,321.0
322,195.0,322.0
323,195.0,323.0
324,195.0,324.0
325,195.0,325.0
326,195.0,326.0
327,195.0,327.0
328,195.0,328.0
329,195.0,329.0
330,200.0,330.0
