time,litterCount,tPlusProcessing
0,0.0,0.0
1,0.0,1.0
2,0.0,2.0
3,0.0,3.0
4,0.0,4.0
5,0.0,5.0
6,0.0,6.0
7,0.0,7.0
8,0.0,8.0
9,0.0,9.0
10,0.0,10.0
11,0.0,11.0
12,0.0,12.0
13,0.0,13.0
14,0.0,14.0
15,0.0,15.0
16,0.0,16.0
17,0.0,17.0
18,0.0,18.0
19,0.0,19.0
20,0.0,20.0
21,0.0,21.0
22,0.0,22.0
23,0.0,23.0
24,0.0,24.0
25,0.0,25.0
26,0.0,26.0
27,0.0,27.0
28,0.0,28.0
29,0.0,29.0
30,0.0,30.0
31,0.0,31.0
32,0.0,32.0
33,0.0,33.0
34,0.0,34.0
35,0.0,35.0
36,0.0,36.0
37,0.0,37.0
38,0.0,38.0
39,0.0,39.0
40,0.0,40.0
41,0.0,41.0
42,0.0,42.0
43,0.0,43.0
44,0.0,44.0
45,0.0,45.0
46,0.0,46.0
47,0.0,47.0
48,0.0,48.0
49,0.0,49.0
50,0.0,50.0
51,0.0,51.0
52,0.0,52.0
53,0.0,53.0
54,0.0,54.0
55,0.0,55.0
56,0.0,56.0
57,5.0,57.0
58,5.0,58.0
59,5.0,59.0
60,5.0,60.0
61,5.0,61.0
62,5.0,62.0
63,5.0,63.0
64,10.0,64.0
65,10.0,65.0
66,15.0,66.0
67,20.0,67.0
68,20.0,68.0
69,20.0,69.0
70,20.0,70.0
71,20.0,71.0
72,20.0,72.0
73,20.0,73.0
74,20.0,74.0
75,20.0,75.0
76,20.0,76.0
77,20.0,77.0
78,25.0,78.0
79,30.0,79.0
80,30.0,80.0
81,35.0,81.0
82,35.0,82.0
83,35.0,83.0
84,40.0,84.0
85,40.0,85.0
86,40.0,86.0
87,40.0,87.0
88,40.0,88.0
89,45.0,89.0
90,55.0,90.0
91,55.0,91.0
92,55.0,92.0
93,70.0,93.0
94,75.0,94.0
95,75.0,95.0
96,75.0,96.0
97,75.0,97.0
98,75.0,98.0
99,80.0,99.0
100,90.0,100.0
101,90.0,101.0
102,100.0,102.0
103,100.0,103.0
104,100.0,104.0
105,100.0,105.0
106,100.0,106.0
107,100.0,107.0
108,100.0,108.0
109,110.0,109.0
110,115.0,110.0
111,115.0,111.0
112,125.0,112.0
113,130.0,113.0
114,130.0,114.0
115,130.0,115.0
116,130.0,116.0
117,135.0,117.0
118,145.0,118.0
119,145.0,119.0
120,145.0,120.0
121,150.0,121.0
122,150.0,122.0
123,150.0,123.0
124,155.0,124.0
125,155.0,125.0
126,155.0,126.0
127,160.0,127.0
128,160.0,128.0
129,165.0,129.0
130,165.0,130.0
131,165.0,131.0
132,165.0,132.0
133,170.0,133.0
134,170.0,134.0
135,170.0,135.0
136,170.0,136.0
137,170.0,137.0
138,175.0,138.0
139,175.0,139.0
140,175.0,140.0
141,175.0,141.0
142,175.0,142.0
143,180.0,143.0
144,180.0,144.0
145,180.0,145.0
146,185.0,146.0
147,185.0,147.0
148,185.0,148.0
149,185.0,149.0
150,185.0,150.0
151,185.0,151.0
152,185.0,152.0
153,185.0,153.0
154,185.0,154.0
155,185.0,155.0
156,185.0,156.0
157,185.0,157.0
158,185.0,158.0
159,185.0,159.0
160,185.0,160.0
161,185.0,161.0
162,185.0,162.0
163,185.0,163.0
164,185.0,164.0
165,185.0,165.0
166,185.0,166.0
167,185.0,167.0
168,185.0,168.0
169,185.0,169.0
170,185.0,170.0
171,185.0,171.0
172,185.0,172.0
173,185.0,173.0
174,185.0,174.0
175,185.0,175.0
176,185.0,176.0
177,185.0,177.0
178,185.0,178.0
179,185.0,179.0
180,185.0,180.0
181,185.0,181.0
182,185.0,182.0
183,185.0,183.0
184,185.0,184.0
185,185.0,185.0
186,185.0,186.0
187,185.0,187.0
188,185.0,188.0
189,185.0,189.0
190,185.0,190.0
191,185.0,191.0
192,185.0,192.0
193,185.0,193.0
194,185.0,194.0
195,185.0,195.0
196,185.0,196.0
197,185.0,197.0
198,185.0,198.0
199,185.0,199.0
200,185.0,200.0
201,185.0,201.0
202,185.0,202.0
203,185.0,203.0
204,190.0,204.0
205,190.0,205.0
206,190.0,206.0
207,190.0,207.0
208,190.0,208.0
209,190.0,209.0
210,190.0,210.0
211,190.0,211.0
212,190.0,212.0
213,190.0,213.0
214,190.0,214.0
215,190.0,215.0
216,190.0,216.0
217,190.0,217.0
218,190.0,218.0
219,190.0,219.0
220,190.0,220.0
221,190.0,221.0
222,190.0,222.0
223,190.0,223.0
224,190.0,224.0
225,190.0,225.0
226,190.0,226.0
227,190.0,227.0
228,190.0,228.0
229,190.0,229.0
230,190.0,230.0
231,190.0,231.0
232,190.0,232.0
233,195.0,233.0
234,195.0,234.0
235,195.0,235.0
236,195.0,236.0
237,195.0,237.0
238,195.0,238.0
239,195.0,239.0
240,195.0,240.0
241,195.0,241.0
242,195.0,242.0
243,195.0,243.0
244,195.0,244.0
245,195.0,245.0
246,195.0,246.0
247,195.0,247.0
248,195.0,248.0
249,195.0,249.0
250,200.0,250.0
